2025-06-11T02:46:31.612863100 | poyraz | Logged in
2025-06-11T02:46:37.064902200 | poyraz | Slot Machine,$222.0,false
2025-06-11T02:46:57.624827500 | poyraz | Roulette,$1000.0,false
2025-06-11T02:47:02.485703600 | poyraz | Logged out
2025-06-11T10:51:50.604771700 | mevlut | Registered
2025-06-11T10:51:57.354991400 | mevlut | Logged in
2025-06-11T10:52:23.151743300 | mevlut | Added $1000.0 to wallet
2025-06-11T10:53:15.822503800 | mevlut | Roulette,$1100.0,false
2025-06-11T10:53:40.501033 | mevlut | Logged out
2025-06-11T10:53:50.823449800 | yaso | Registered
2025-06-11T10:53:55.305992300 | yaso | Logged in
2025-06-11T10:54:02.590507100 | yaso | Added $3100.0 to wallet
2025-06-11T10:54:42.502824500 | yaso | Roulette,$3131.0,false
2025-06-11T10:55:12.111834600 | yaso | Roulette,$69.0,false
2025-06-11T10:55:25.313136 | yaso | Added $1000.0 to wallet
2025-06-11T10:55:48.655033900 | yaso | Roulette,$500.0,false
2025-06-11T10:56:22.841633800 | yaso | Roulette,$500.0,true
2025-06-11T10:56:57.562652400 | yaso | Slot Machine,$10.0,false
2025-06-11T11:08:09.375470200 | yaso | Logged out
2025-06-11T11:09:59.918703600 | mevlut | Logged in
2025-06-11T11:10:07.234006500 | mevlut | Added $1000.0 to wallet
2025-06-11T11:10:11.717600500 | mevlut | Logged out
2025-06-11T12:47:32.411306900 | mevlut | Logged in
2025-06-11T12:47:49.288400600 | mevlut | Roulette,$10.0,true
2025-06-11T12:53:59.529754400 | poyraz | Logged in
2025-06-11T12:54:30.927998300 | poyraz | Roulette,$1000.0,true
2025-06-11T12:55:16.929496100 | poyraz | Logged out
2025-06-11T20:43:03.727769400 | mevlut | Logged in
2025-06-11T21:19:23.708821800 | john doe | Registered
2025-06-11T23:04:29.790880800 | tarik | Logged in
2025-06-11T23:04:41.291542900 | tarik | Slot Machine,$500.0,false
2025-06-11T23:05:29.624699200 | tarik | Logged in
2025-06-11T23:05:33.896384300 | tarik | Slot Machine,$200.0,false
2025-06-11T23:05:47.260392800 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:22.400527600 | tarik | Slot Machine,$500.0,false
2025-06-11T23:06:26.633083800 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:30.419525100 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:33.163816500 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:35.678934900 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:38.309331400 | tarik | Slot Machine,$200.0,false
2025-06-11T23:06:42.355531200 | tarik | Slot Machine,$200.0,true
2025-06-11T23:40:57.216352900 | tarik | Logged in
2025-06-11T23:41:34.718527400 | tarik | Slot Machine,$-100.0,lose
2025-06-11T23:44:09.736283 | tarik | Logged in
2025-06-11T23:44:14.161724200 | tarik | Added $-100.0 to wallet
2025-06-11T23:44:14.161724200 | tarik | Slot Machine,$-100.0,lose
2025-06-12T00:00:28.256013 | tarik | Logged in
2025-06-12T00:01:11.077569600 | tarik | Logged in
2025-06-12T00:01:30.187998800 | tarik | Blackjack,$100.0,win
2025-06-12T00:03:12.522581800 | tarik | Logged in
2025-06-12T00:04:23.591663700 | tarik | Blackjack,$-100.0,lose
2025-06-12T00:06:54.702615100 | tarik | Logged in
2025-06-12T00:07:06.015259800 | tarik | Blackjack,$-190.0,lose
2025-06-12T01:54:54.339099400 | tarik | Logged in
